area,name,taxable_income_million_yen,income_taxpayers,fiscal_year
14111,港南区,,,2022
14112,旭区,,,2022
14113,緑区,,,2022
14114,瀬谷区,,,2022
14115,栄区,,,2022
14116,泉区,,,2022
14117,青葉区,,,2022
14118,都筑区,,,2022
14130,川崎市,3541495.0,832760.0,2022
14131,川崎区,,,2022
14132,幸区,,,2022
14133,中原区,,,2022
14134,高津区,,,2022
14135,多摩区,,,2022
14136,宮前区,,,2022
14137,麻生区,,,2022
14150,相模原市,1279057.0,358958.0,2022
14151,緑区,,,2022
14152,中央区,,,2022
14153,南区,,,2022
14201,横須賀市,639742.0,189644.0,2022
14203,平塚市,435123.0,124094.0,2022
14204,鎌倉市,458815.0,87672.0,2022
14205,藤沢市,933174.0,221749.0,2022
14206,小田原市,323226.0,92485.0,2022
14207,茅ヶ崎市,484058.0,119737.0,2022
14208,逗子市,134985.0,28726.0,2022
14210,三浦市,60018.0,19371.0,2022
14211,秦野市,255360.0,76664.0,2022
14212,厚木市,411671.0,112302.0,2022
14213,大和市,455193.0,124307.0,2022
14214,伊勢原市,182031.0,50633.0,2022
14215,海老名市,261741.0,68817.0,2022
14216,座間市,223703.0,65787.0,2022
14217,南足柄市,63982.0,20163.0,2022
14218,綾瀬市,133937.0,40017.0,2022
14301,葉山町,72681.0,15202.0,2022
14321,寒川町,79754.0,23857.0,2022
14341,大磯町,62811.0,15249.0,2022
14342,二宮町,48352.0,13604.0,2022
14361,中井町,13641.0,4430.0,2022
14362,大井町,27146.0,8431.0,2022
